id	lila_id	Headword 	Definition 	Part of Speech 	Semantic Group 	Frequency Rank
DCC056	lilaLemma:129198	tum or tunc 	then 	Adverb 	Time 	56
DCC057	lilaLemma:101119	enim 	for, indeed 	Conjunction 	Pronouns/Interrogatives 	57
DCC058	lilaLemma:127607	tamen 	nevertheless, still 	Conjunction 	Conjunctions/Adverbs 	58
DCC059	lilaLemma:109082	īdem eadem idem 	the same 	Pronoun 	Pronouns/Interrogatives 	59
DCC060	lilaLemma:122013	rēx rēgis m. 	king 	Noun: 3rd Declension	The City 	60
DCC061	lilaLemma:113344	nam or namque 	for, indeed, really 	Conjunction 	Conjunctions/Adverbs 	61
DCC062	lilaLemma:110019	locus -ī m. 	"place; loca (n. pl.) region "	Noun: 2nd Declension	Geography 	62
DCC063	lilaLemma:129790	veniō venīre vēnī ventum 	come 	Verb: 4th Conjugation	Motion 	63
DCC064	lilaLemma:108392	inter 	"between, among; during (+ acc.) "	Preposition 	Place 	64
DCC065	lilaLemma:116084	pars partis f. 	part 	Noun: 3rd Declension	Measurement 	65
DCC066	lilaLemma:130745	volō velle voluī 	wish, be willing 	Verb: Irregular 	Emotions 	66
DCC067	lilaLemma:101554	etiam 	also, even 	Adverb 	Conjunctions/Adverbs 	67
DCC068	lilaLemma:91782	bonus -a -um 	good 	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics 	68
DCC069	lilaLemma:88140	agō agere ēgī āctum 	drive, do, act 	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing 	69
DCC070	lilaLemma:127912	terra -ae f. 	land 	Noun: 1st Declension	Earth and Water 	70
DCC071	lilaLemma:116203	pater patris m. 	father, ancestor 	Noun: 3rd Declension	The Household 	71
DCC072	lilaLemma:114120	neque 	"and not, nor; neque ... neque, neither ... nor; → nec "	Conjunction 	Conjunctions/Adverbs 	72
DCC073	lilaLemma:100071	domus -ūs f. 	house, home 	Noun: 4th Declension	The House 	73
DCC074	lilaLemma:87415	at 	but, but yet 	Conjunction 	Conjunctions/Adverbs 	74
DCC075	lilaLemma:96667	corpus corporis n. 	body 	Noun: 3rd Declension	The Body 	75
DCC076	lilaIpoLemma:110467	quoque 	also, too 	Conjunction 	Conjunctions/Adverbs 	76
DCC077	lilaLemma:91108	aliquis -quae -quod 	"some, any; si quis, si quid: anyone who, anything that "	Pronoun 	Pronouns/Interrogatives 	77
DCC078	lilaLemma:128484	tōtus -a -um 	whole, entire 	Adjective: 1st and 2nd Declension	Measurement 	78
DCC079	lilaLemma:124690	sīc 	"in this manner, thus; sīc ... ut: in the same way as "	Adverb 	Conjunctions/Adverbs 	79
DCC080	lilaIpoLemma:18676	hīc 	"here; hinc: from here "	Adverb 	Place 	80
DCC081	lilaLemma:109122	iste ista istud 	"that, that of yours; adv. istīc or istūc: over there; istinc: from over there "	Pronoun 	Pronouns/Interrogatives 	81
DCC082	lilaLemma:130822	urbs urbis f. 	city 	Noun: 3rd Declension	The City 	82
DCC083	lilaLemma:117549	petō petere petīvī petītum 	seek, aim at 	Verb: 3rd Conjugation -ō	Motion 	83
DCC084	lilaLemma:109152	iubeō iubēre iussī iussum 	bid, order 	Verb: 2nd Conjugation	Justice 	84
DCC085	lilaLemma:130300	vir virī m. 	man 	Noun: 2nd Declension	People 	85
DCC086	lilaLemma:91461	bellum -ī n. 	war 	Noun: 2nd Declension	War and Peace 	86
DCC087	lilaLemma:130393	vīta -ae f. 	life 	Noun: 1st Declension	Life and Being 	87
DCC088	lilaLemma:105624	homō hominis m. 	human being 	Noun: 3rd Declension	People 	88
DCC089	lilaLemma:127522	tempus -oris n. 	time 	Noun: 3rd Declension	Time 	89
DCC090	lilaLemma:111271	magis 	more 	Adverb 	Conjunctions/Adverbs 	90
DCC091	lilaLemma:119498	prīmus -a -um 	first 	Adjective: 1st and 2nd Declension	Time 	91
DCC092	lilaLemma:129639	ubi 	where, when 	Adverb 	Place 	92
DCC093	lilaLemma:105757	hostis -is m./f. 	stranger, enemy 	Noun: 3rd Declension	War and Peace 	93
DCC094	lilaLemma:88828	an 	"or (in questions); utrum ... an: whether ... or "	Conjunction 	Conjunctions/Adverbs 	94
DCC095	lilaLemma:112807	mors mortis f. 	death 	Noun: 3rd Declension	Life and Being 	95
DCC096	lilaLemma:127600	tam 	so, so much 	Adverb 	Conjunctions/Adverbs 	96
DCC097	lilaLemma:101183	eō īre iī/īvī itum 	go 	Verb: Irregular 	Motion 	97
DCC098	lilaLemma:89998	arma -ōrum n. pl. 	arms, weapons 	Noun: 2nd Declension	War and Peace 	98
DCC099	lilaLemma:126999	superus -a -um 	situated above, upper 	Adjective: 1st and 2nd Declension	Religion 	99
DCC100	lilaLemma:113704	nisi, nī 	if not, unless 	Conjunction 	Conjunctions/Adverbs 	100
DCC101	lilaLemma:130232	vincō vincere vīcī victum 	conquer 	Verb: 3rd Conjugation -ō	War and Peace 	101
DCC102	lilaLemma:118414	pōnō pōnere posuī positum 	"put, place; put aside "	Verb: 3rd Conjugation -ō	Verbs of Transport 	102
DCC103	lilaLemma:100236	dum 	"while (+ indic.); until (+ subj.); provided that (+ subj.) "	Conjunction 	Time 	103
DCC104	lilaLemma:124883	sine 	without (+ abl.) 	Preposition 	Non-Directional Prepositions 	104
DCC105	lilaLemma:127630	tantus -a -um 	"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth "	Adjective: 1st and 2nd Declension	Measurement 	105
DCC106	lilaLemma:127822	teneō -ēre -uī tentum 	hold, keep 	Verb: 2nd Conjugation	Other Senses 	106
DCC107	lilaLemma:93253	causa -ae f. 	"cause, reason; causā + preceding genitive, for the sake of "	Noun: 1st Declension	Speech/Oratory 	107
DCC108	lilaLemma:124461	sequor sequī secūtus sum 	follow 	Verb: Deponent 	Motion 	108
DCC109	lilaLemma:96881	crēdō crēdere crēdidī crēditum 	believe 	Verb: 3rd Conjugation -ō	Education/Knowledge 	109
DCC110	lilaLemma:87119	accipiō -cipere -cēpī -ceptum 	receive 	Verb: 3rd Conjugation -iō	Social Life 	110
DCC111	lilaLemma:130356	virtūs -ūtis f. 	valor, manliness, virtue 	Noun: 3rd Declension	Personality Traits/Characteristics 	111
DCC112	lilaLemma:89164	ante 	before, in front of (adv. and prep. + acc.) 	Preposition 	Time 	112
DCC113	lilaLemma:121047	quaerō -rere -sīvī -sītum 	seek, inquire 	Verb: 3rd Conjugation -ō	Education/Knowledge 	113
DCC114	lilaLemma:112499	mittō mittere mīsī missum 	send, let go 	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing 	114
DCC115	lilaLemma:130360	vīs f. 	"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength "	Noun: 3rd Declension	War and Peace 	115
DCC116	lilaLemma:88717	amor -ōris m. 	love 	Noun: 3rd Declension	Love 	116
DCC117	lilaLemma:92231	caelum -ī n. 	sky, heavens 	Noun: 2nd Declension	Air and Fire 	117
DCC118	lilaLemma:125956	sub 	under, close to (+acc. or abl.) 	Preposition 	Place 	118
DCC119	lilaLemma:113901	nox noctis f. 	night 	Noun: 3rd Declension	Lengths of Time 	119
DCC120	lilaLemma:109126	ita 	thus, so 	Adverb 	Conjunctions/Adverbs 	120
DCC121	lilaLemma:121683	rēgnum -ī n. 	kingship, kingdom 	Noun: 2nd Declension	Geography 	121
DCC122	lilaLemma:118463	populus -ī m. 	people 	Noun: 2nd Declension	The City 	122
DCC123	lilaLemma:90828	autem 	moreover, but, however 	Conjunction 	Conjunctions/Adverbs 	123
DCC124	lilaLemma:92796	caput capitis n. 	head 	Noun: 3rd Declension	The Body 	124
DCC125	lilaLemma:111604	mare -is n. 	sea 	Noun: 3rd Declension	Earth and Water 	125
DCC126	lilaLemma:121313	quīdam quaedam quoddam 	a certain one, someone 	Pronoun 	Pronouns/Interrogatives 	126
DCC127	lilaLemma:111688	māter mātris f. 	mother 	Noun: 3rd Declension	The Household 	127
DCC128	lilaLemma:118468	prō 	for, on behalf of, in proportion to (+abl.) 	Preposition 	Non-Directional Prepositions 	128
